                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97499,                0.73943,                0.96697,                0.90276,                0.79423,                0.87823,                0.61954,                   1.07,                0.89782,                 1.0269,              0.0015644,              0.0015644,              0.0015644
                     35,                0.95522,                0.70273,                0.96636,                0.84783,                0.65782,                0.76442,                0.54051,                 1.0776,                 1.1476,                 1.0458,              0.0015512,              0.0015512,              0.0015512
                     36,                0.97206,                0.71651,                0.97468,                0.87263,                0.64307,                0.75392,                0.52452,                 1.1599,                 1.1383,                 1.0651,               0.001538,               0.001538,               0.001538
                     37,                0.96944,                0.71652,                 0.9625,                0.91682,                0.69617,                0.81277,                0.56228,                   1.11,                 1.0193,                 1.0409,              0.0015248,              0.0015248,              0.0015248
                     38,                0.95667,                0.70404,                0.96307,                0.85778,                0.55457,                0.69114,                0.48503,                 1.1614,                 1.2864,                 1.0668,              0.0015116,              0.0015116,              0.0015116
                     39,                0.95702,                0.69783,                0.97093,                0.88281,                0.71091,                0.79744,                0.57074,                 1.0641,                 1.0005,                 1.0055,              0.0014984,              0.0014984,              0.0014984
                     40,                0.95827,                0.69194,                0.96411,                0.84111,                0.64012,                0.75971,                0.55066,                 1.0487,                 1.1194,                   1.01,              0.0014852,              0.0014852,              0.0014852
                     41,                0.95306,                0.69542,                0.96894,                0.91027,                0.71823,                0.83802,                0.60615,                 1.0536,                0.92616,                 1.0235,               0.001472,               0.001472,               0.001472
                     42,                0.95671,                0.67536,                0.96636,                0.89342,                0.79129,                0.86982,                0.62762,                 1.0318,                  0.866,                 0.9964,              0.0014588,              0.0014588,              0.0014588
                     43,                0.95738,                0.67877,                0.96128,                0.87811,                0.85841,                 0.9175,                0.65796,                 1.0277,                0.75681,                0.99701,              0.0014456,              0.0014456,              0.0014456
                     44,                 0.9603,                 0.6725,                0.96632,                0.87524,                0.79351,                0.89698,                0.64971,                 1.0046,                0.82598,                0.99202,              0.0014324,              0.0014324,              0.0014324
                     45,                0.94889,                 0.6626,                0.96134,                 0.8597,                0.77581,                0.84687,                0.60056,                 1.0388,                0.95042,                 1.0012,              0.0014192,              0.0014192,              0.0014192
                     46,                0.91932,                0.64265,                0.94905,                0.86748,                0.81104,                0.87986,                 0.6415,                 1.0068,                0.81758,                 0.9904,               0.001406,               0.001406,               0.001406
                     47,                0.93144,                0.66249,                 0.9551,                0.90884,                0.80531,                0.88301,                0.63473,                0.99949,                0.82781,                0.99052,              0.0013928,              0.0013928,              0.0013928
                     48,                0.92995,                0.66107,                 0.9512,                0.92108,                0.82596,                0.90574,                0.62694,                  1.069,                 0.7823,                 1.0061,              0.0013796,              0.0013796,              0.0013796
                     49,                0.90006,                0.62942,                0.94699,                0.88784,                0.79646,                0.87925,                0.61285,                 1.0927,                0.83506,                 1.0136,              0.0013664,              0.0013664,              0.0013664
                     50,                0.92374,                0.62804,                0.95896,                 0.9005,                0.89676,                0.95077,                0.68556,                0.98627,                 0.6819,                0.98055,              0.0013532,              0.0013532,              0.0013532
                     51,                0.93331,                0.62842,                0.95188,                0.93072,                0.87183,                0.94051,                0.66597,                 1.0289,                0.70623,                0.99196,                0.00134,                0.00134,                0.00134
                     52,                  0.921,                0.63283,                0.94829,                0.89715,                0.82337,                0.91437,                0.65749,                 1.0116,                0.72433,                0.99283,              0.0013268,              0.0013268,              0.0013268
                     53,                0.91275,                0.61495,                0.94991,                0.90997,                0.86464,                0.93897,                 0.7045,                0.93806,                0.67965,                0.95625,              0.0013136,              0.0013136,              0.0013136
                     54,                0.87463,                 0.5898,                0.94161,                0.96376,                0.82891,                0.92432,                 0.6946,                0.93405,                0.68652,                 0.9526,              0.0013004,              0.0013004,              0.0013004
                     55,                0.88508,                0.60564,                0.94332,                0.94331,                0.83451,                0.91846,                0.68522,                0.94181,                 0.7175,                0.96676,              0.0012872,              0.0012872,              0.0012872
                     56,                 0.9013,                0.60545,                0.94544,                0.93276,                0.80531,                0.91223,                0.67738,                0.94398,                  0.736,                0.97075,               0.001274,               0.001274,               0.001274
                     57,                0.88904,                0.58674,                0.94456,                0.95611,                0.84661,                0.90744,                0.66382,                0.98334,                0.74854,                 0.9849,              0.0012608,              0.0012608,              0.0012608
                     58,                 0.8706,                0.57035,                0.93597,                0.97644,                0.85561,                0.93696,                0.69771,                0.94108,                0.68367,                0.95915,              0.0012476,              0.0012476,              0.0012476
                     59,                0.88617,                0.58429,                0.94144,                0.94616,                0.88496,                0.94654,                0.70562,                0.96467,                0.67265,                0.97595,              0.0012344,              0.0012344,              0.0012344
                     60,                0.87373,                0.57673,                0.94158,                0.94187,                0.87316,                0.94977,                0.70905,                   0.97,                0.60942,                0.98042,              0.0012212,              0.0012212,              0.0012212
                     61,                0.85809,                0.57928,                0.93301,                0.93925,                0.91207,                0.95946,                0.73068,                0.91674,                0.58125,                0.95167,               0.001208,               0.001208,               0.001208
                     62,                0.88132,                0.56627,                0.93961,                0.94622,                0.92035,                 0.9635,                0.70835,                0.94661,                0.59342,                0.96288,              0.0011948,              0.0011948,              0.0011948
                     63,                0.86113,                0.57442,                 0.9292,                0.93501,                0.89119,                 0.9479,                0.71159,                0.93983,                0.60884,                0.96059,              0.0011816,              0.0011816,              0.0011816
                     64,                0.84844,                0.55624,                 0.9305,                0.94612,                0.93233,                 0.9675,                0.74729,                0.87642,                0.55113,                0.93783,              0.0011684,              0.0011684,              0.0011684
